club,att_strength_last6,def_strength_last6,set_piece_threat_rank,clean_sheet_prob_gw+1
Arsenal,3.0,3.0,10,
Aston Villa,3.0,3.0,10,
Bournemouth,3.0,3.0,10,
Brentford,3.0,3.0,10,
Brighton,3.0,3.0,10,
Chelsea,3.0,3.0,10,
Coventry City,3.0,3.0,10,
Crystal Palace,3.0,3.0,10,
Everton,3.0,3.0,10,
Fulham,3.0,3.0,10,
Hull City,3.0,3.0,10,
Ipswich Town,3.0,3.0,10,
Leeds,3.0,3.0,10,
Liverpool,3.0,3.0,10,
Man City,3.0,3.0,10,
Man Utd,3.0,3.0,10,
Newcastle,3.0,3.0,10,
Nott'm Forest,3.0,3.0,10,
Spurs,3.0,3.0,10,
Sunderland,3.0,3.0,10,
